efo_id,disease_name,us_patients,us_prevalence_per_100k,source,as_of
MONDO_0011778,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0012254,Multiple epiphyseal dysplasia-miniepiphyses syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0008752,Alexander disease,166,0.05,"Orphanet Annual incidence (<1 / 1 000 000, Japan)",2025
MONDO_0012253,Multiple epiphyseal dysplasia-severe proximal femoral dysplasia syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0009561,Alpha-mannosidosis,1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, Europe)",2025
MONDO_0009594,"Metaphyseal chondrodysplasia, Kaitila type",166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0009598,Brachydactyly-short stature-retinitis pigmentosa syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0008830,Aspartylglucosaminuria,1665,0.5,"Orphanet Prevalence at birth (1-9 / 1 000 000, Australia)",2025
MONDO_0010088,Multiple sulfatase deficiency,1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, Worldwide)",2025
MONDO_0009562,Beta-mannosidosis,1665,0.5,"Orphanet Prevalence at birth (1-9 / 1 000 000, Europe)",2025
MONDO_0010079,Canavan disease,16650,5.0,"Orphanet Prevalence at birth (1-9 / 100 000, Worldwide)",2025
MONDO_0009166,Pontocerebellar hypoplasia type 4,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0008668,Von Willebrand disease type 1,99900,30.0,"Orphanet Point prevalence (1-5 / 10 000, Europe)",2025
MONDO_0012683,Pontocerebellar hypoplasia type 6,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0016239,Cystinosis,1665,0.5,"Orphanet Prevalence at birth (1-9 / 1 000 000, Worldwide)",2025
MONDO_0009218,Farber disease,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0013304,Von Willebrand disease type 2,1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, Worldwide)",2025
MONDO_0009254,Fucosidosis,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0009290,Glycogen storage disease due to acid maltase deficiency,16650,5.0,"Orphanet Prevalence at birth (1-9 / 100 000, United States)",2025
MONDO_0009291,Glycogen storage disease due to glycogen debranching enzyme deficiency,16650,5.0,"Orphanet Prevalence at birth (1-9 / 100 000, United States)",2025
MONDO_0009293,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, Spain)",2025
MONDO_0010191,Von Willebrand disease type 3,1665,0.5,"Orphanet Point prevalence (1-9 / 1 000 000, Worldwide)",2025
MONDO_0009292,Glycogen storage disease due to glycogen branching enzyme deficiency,1665,0.5,"Orphanet Prevalence at birth (1-9 / 1 000 000, Worldwide)",2025
MONDO_0009295,Glycogen storage disease due to muscle phosphofructokinase deficiency,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0015632,FASTKD2-related infantile mitochondrial encephalomyopathy,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0009294,Glycogen storage disease due to liver glycogen phosphorylase deficiency,16650,5.0,"Orphanet Prevalence at birth (1-9 / 100 000, Israel)",2025
MONDO_0100244,Paroxysmal nocturnal hemoglobinuria,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Europe)",2025
MONDO_0012856,Birk-Barel syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0010535,Bazex syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
Orphanet_535,Rare cutaneous lupus erythematosus,249750,75.0,"Orphanet Point prevalence (6-9 / 10 000, United States)",2025
MONDO_0015634,Isolated osteopoikilosis,16650,5.0,"Orphanet Point prevalence (1-9 / 100 000, Worldwide)",2025
MONDO_0009499,Krabbe disease,1665,0.5,"Orphanet Prevalence at birth (1-9 / 1 000 000, United States)",2025
MONDO_0007441,Dentinogenesis imperfecta type 2,99900,30.0,"Orphanet Point prevalence (1-5 / 10 000, Europe)",2025
MONDO_0009661,Mucopolysaccharidosis type 6,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, United States)",2025
MONDO_0100325,Odontochondrodysplasia,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0009650,Mucolipidosis type II,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Europe)",2025
MONDO_0011501,Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0009738,Sialidosis type 1,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Europe)",2025
MONDO_0012061,Hereditary sick sinus syndrome,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0009653,Mucolipidosis type IV,1665,0.5,"Orphanet Prevalence at birth (1-9 / 1 000 000, Sweden)",2025
MONDO_0015635,Porokeratotic eccrine ostial and dermal duct nevus,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
MONDO_0018931,Mucolipidosis type III,99900,30.0,"Orphanet Point prevalence (1-5 / 10 000, Europe)",2025
EFO_0007239,Dirofilariasis,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Europe)",2025
MONDO_0015641,Benign infantile focal epilepsy with midline spikes and waves during sleep,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Worldwide)",2025
EFO_0007450,Poliomyelitis,166,0.05,"Orphanet Point prevalence (<1 / 1 000 000, Europe)",2025
MONDO_0010006,Sandhoff disease,1665,0.5,"Orphanet Prevalence at birth (1-9 / 1 000 000, United States)",2025
MONDO_0015643,Photosensitive occipital lobe epilepsy,99900,30.0,"Orphanet Point prevalence (1-5 / 10 000, Worldwide)",2025
EFO_1001993,Scleroderma,99900,30.0,"Orphanet Point prevalence (1-5 / 10 000, Worldwide)",2025
